sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,concentrations,Electrical resistivity,Power factor,Figure of merit Z
13037,10.1021/ja301245b,25435,4b,31662,KxPb1−xSe_ x=0.005,K0.005Pb0.995Se,550,,48986,0.00015174,1.4367,0.46953,,0.000020414,0.001127904,0.0007850658
13037,10.1021/ja301245b,25435,4b,31662,KxPb1−xSe_ x=0.005,K0.005Pb0.995Se,600,,39645,0.00017376,1.3021,0.56874,,0.0000252239,0.0011969832,0.0009192713
13037,10.1021/ja301245b,25435,4b,31662,KxPb1−xSe_ x=0.005,K0.005Pb0.995Se,650,,30303,0.00019579,1.1675,0.66796,,0.000033,0.0011616268,0.0009949695
13037,10.1021/ja301245b,25435,4b,31662,KxPb1−xSe_ x=0.005,K0.005Pb0.995Se,700,,20961,0.00021781,1.0329,0.76717,,0.0000477076,0.0009944149,0.0009627407
13037,10.1021/ja301245b,25435,4b,31662,KxPb1−xSe_ x=0.005,K0.005Pb0.995Se,750,,11619,0.00023984,0.89834,0.86638,,0.0000860659,0.0006683624,0.0007439971
13037,10.1021/ja301245b,25436,4f,31662,KxPb1−xSe_ x=0.005,K0.005Pb0.995Se,800,,,,0.76375,,,,,
13037,10.1021/ja301245b,25436,4f,31662,KxPb1−xSe_ x=0.005,K0.005Pb0.995Se,850,,,,0.62915,,,,,
13037,10.1021/ja301245b,25435,4b,31663,KxPb1−xSe_ x=0.010,K0.010Pb0.99Se,350,,223540,0.00001599,2.3289,-0.033375,,0.0000044735,0.0000571547,0.0000245415
13037,10.1021/ja301245b,25435,4b,31663,KxPb1−xSe_ x=0.010,K0.010Pb0.99Se,400,,201420,0.000034819,2.1735,0.068134,,0.0000049648,0.0002441941,0.0001123506
13037,10.1021/ja301245b,25435,4b,31663,KxPb1−xSe_ x=0.010,K0.010Pb0.99Se,450,,179300,0.000053648,2.0181,0.16964,,0.0000055772,0.0005160447,0.0002557082
13037,10.1021/ja301245b,25435,4b,31663,KxPb1−xSe_ x=0.010,K0.010Pb0.99Se,500,,157190,0.000072477,1.8626,0.27115,,0.0000063617,0.0008257058,0.0004433082
13037,10.1021/ja301245b,25435,4b,31663,KxPb1−xSe_ x=0.010,K0.010Pb0.99Se,550,,135070,0.000091306,1.7072,0.37266,,0.0000074036,0.0011260496,0.0006595886
13037,10.1021/ja301245b,25435,4b,31663,KxPb1−xSe_ x=0.010,K0.010Pb0.99Se,600,,112950,0.00011013,1.5518,0.47417,,0.0000088535,0.0013699273,0.0008827989
13037,10.1021/ja301245b,25435,4b,31663,KxPb1−xSe_ x=0.010,K0.010Pb0.99Se,650,,90837,0.00012896,1.3964,0.57568,,0.0000110087,0.0015106812,0.0010818399
13037,10.1021/ja301245b,25435,4b,31663,KxPb1−xSe_ x=0.010,K0.010Pb0.99Se,700,,68721,0.00014779,1.241,0.67719,,0.0000145516,0.0015009961,0.0012095053
13037,10.1021/ja301245b,25435,4b,31663,KxPb1−xSe_ x=0.010,K0.010Pb0.99Se,750,,46605,0.00016662,1.0856,0.7787,,0.0000214569,0.0012938585,0.0011918372
13037,10.1021/ja301245b,25435,4b,31663,KxPb1−xSe_ x=0.010,K0.010Pb0.99Se,800,,24488,0.00018545,0.93017,0.8802,,0.0000408363,0.000842184,0.0009054087
13037,10.1021/ja301245b,25435,4b,31663,KxPb1−xSe_ x=0.010,K0.010Pb0.99Se,850,,2371.9,0.00020428,0.77476,0.98171,,0.0004216029,0.0000989801,0.0001277559
13037,10.1021/ja301245b,25435,4b,31664,KxPb1−xSe_ x=0.0125,K0.0125Pb0.9875Se,350,,202830,0.00002656,2.6125,-0.023474,,0.0000049302,0.0001430831,0.0000547686
13037,10.1021/ja301245b,25435,4b,31664,KxPb1−xSe_ x=0.0125,K0.0125Pb0.9875Se,400,,183090,0.000044869,2.424,0.085659,,0.0000054618,0.0003686018,0.0001520634
13037,10.1021/ja301245b,25435,4b,31664,KxPb1−xSe_ x=0.0125,K0.0125Pb0.9875Se,450,,163350,0.000063178,2.2354,0.19479,,0.0000061218,0.0006520049,0.0002916726
13037,10.1021/ja301245b,25435,4b,31664,KxPb1−xSe_ x=0.0125,K0.0125Pb0.9875Se,500,,143610,0.000081487,2.0468,0.30392,,0.0000069633,0.0009535892,0.0004658927
13037,10.1021/ja301245b,25435,4b,31664,KxPb1−xSe_ x=0.0125,K0.0125Pb0.9875Se,550,,123880,0.000099796,1.8582,0.41306,,0.0000080723,0.0012337509,0.0006639494
13037,10.1021/ja301245b,25435,4b,31664,KxPb1−xSe_ x=0.0125,K0.0125Pb0.9875Se,600,,104140,0.00011811,1.6696,0.52219,,0.0000096025,0.0014527501,0.0008701186
13037,10.1021/ja301245b,25435,4b,31664,KxPb1−xSe_ x=0.0125,K0.0125Pb0.9875Se,650,,84403,0.00013641,1.481,0.63132,,0.0000118479,0.0015705447,0.0010604623
13037,10.1021/ja301245b,25435,4b,31664,KxPb1−xSe_ x=0.0125,K0.0125Pb0.9875Se,700,,64666,0.00015472,1.2924,0.74045,,0.0000154641,0.0015479927,0.0011977659
13037,10.1021/ja301245b,25435,4b,31664,KxPb1−xSe_ x=0.0125,K0.0125Pb0.9875Se,750,,44929,0.00017303,1.1038,0.84959,,0.0000222573,0.0013451464,0.0012186505
13037,10.1021/ja301245b,25435,4b,31664,KxPb1−xSe_ x=0.0125,K0.0125Pb0.9875Se,800,,25192,0.00019134,0.91526,0.95872,,0.0000396951,0.0009223042,0.0010076964
13037,10.1021/ja301245b,25435,4b,31664,KxPb1−xSe_ x=0.0125,K0.0125Pb0.9875Se,850,,5454.5,0.00020965,0.72667,1.0679,,0.0001833349,0.0002397423,0.0003299191
13037,10.1021/ja301245b,25435,4b,31665,KxPb1−xSe_ x=0.015,K0.015Pb0.985Se,350,,206060,0.000025911,3.4625,-0.018204,,0.000004853,0.0001383445,0.0000399551
13037,10.1021/ja301245b,25435,4b,31665,KxPb1−xSe_ x=0.015,K0.015Pb0.985Se,400,,185280,0.000044117,3.2049,0.058155,,0.0000053972,0.0003606123,0.000112519
13037,10.1021/ja301245b,25435,4b,31665,KxPb1−xSe_ x=0.015,K0.015Pb0.985Se,450,,164510,0.000062323,2.9472,0.13451,,0.0000060787,0.0006389826,0.00021681
13037,10.1021/ja301245b,25435,4b,31665,KxPb1−xSe_ x=0.015,K0.015Pb0.985Se,500,,143730,0.000080529,2.6896,0.21087,,0.0000069575,0.0009320775,0.0003465488
13037,10.1021/ja301245b,25435,4b,31665,KxPb1−xSe_ x=0.015,K0.015Pb0.985Se,550,,122950,0.000098735,2.4319,0.28723,,0.0000081334,0.0011985904,0.0004928617
13037,10.1021/ja301245b,25435,4b,31665,KxPb1−xSe_ x=0.015,K0.015Pb0.985Se,600,,102170,0.00011694,2.1743,0.36359,,0.0000097876,0.001397171,0.0006425843
13037,10.1021/ja301245b,25435,4b,31665,KxPb1−xSe_ x=0.015,K0.015Pb0.985Se,650,,81393,0.00013515,1.9166,0.43995,,0.0000122861,0.0014866857,0.0007756891
13037,10.1021/ja301245b,25435,4b,31665,KxPb1−xSe_ x=0.015,K0.015Pb0.985Se,700,,60615,0.00015335,1.659,0.51631,,0.0000164976,0.0014254358,0.0008592139
13037,10.1021/ja301245b,25435,4b,31665,KxPb1−xSe_ x=0.015,K0.015Pb0.985Se,750,,39837,0.00017156,1.4013,0.59266,,0.0000251023,0.0011725158,0.0008367343
13037,10.1021/ja301245b,25435,4b,31665,KxPb1−xSe_ x=0.015,K0.015Pb0.985Se,800,,19058,0.00018976,1.1436,0.66902,,0.0000524714,0.0006862568,0.0006000847
13037,10.1021/ja301245b,25435,4b,31665,KxPb1−xSe_ x=0.015,K0.015Pb0.985Se,850,,-1719.7,0.00020797,0.88599,0.74538,,-0.0005814968,-0.0000743796,-0.0000839509
13037,10.1021/ja301245b,25436,4f,31665,KxPb1−xSe_ x=0.015,K0.015Pb0.985Se,300,,,,3.7202,,,,,
13037,10.1021/ja301245b,25438,8a,31666,K0.02Pb0.98Te1−ySey_ y=0.15,K0.02Pb0.98Te0.85Se0.15,350,,120100,0.00009415,2.2864,0.23317,,0.0000083264,0.0010645931,0.0004656198
13037,10.1021/ja301245b,25438,8a,31666,K0.02Pb0.98Te1−ySey_ y=0.15,K0.02Pb0.98Te0.85Se0.15,400,,108250,0.00011615,2.1394,0.3426,,0.0000092379,0.0014603815,0.0006826127
13037,10.1021/ja301245b,25438,8a,31666,K0.02Pb0.98Te1−ySey_ y=0.15,K0.02Pb0.98Te0.85Se0.15,450,,96402,0.00013815,1.9924,0.45202,,0.0000103732,0.0018398729,0.0009234455
13037,10.1021/ja301245b,25438,8a,31666,K0.02Pb0.98Te1−ySey_ y=0.15,K0.02Pb0.98Te0.85Se0.15,500,,84554,0.00016015,1.8454,0.56145,,0.0000118268,0.0021686429,0.0011751614
13037,10.1021/ja301245b,25438,8a,31666,K0.02Pb0.98Te1−ySey_ y=0.15,K0.02Pb0.98Te0.85Se0.15,550,,72707,0.00018215,1.6985,0.67087,,0.0000137538,0.0024123181,0.0014202638
13037,10.1021/ja301245b,25438,8a,31666,K0.02Pb0.98Te1−ySey_ y=0.15,K0.02Pb0.98Te0.85Se0.15,600,,60859,0.00020415,1.5515,0.7803,,0.0000164314,0.0025364341,0.001634827
13037,10.1021/ja301245b,25438,8a,31666,K0.02Pb0.98Te1−ySey_ y=0.15,K0.02Pb0.98Te0.85Se0.15,650,,49012,0.00022615,1.4045,0.88972,,0.0000204032,0.002506661,0.0017847355
13037,10.1021/ja301245b,25438,8a,31666,K0.02Pb0.98Te1−ySey_ y=0.15,K0.02Pb0.98Te0.85Se0.15,700,,37165,0.00024816,1.2576,0.99915,,0.000026907,0.0022887465,0.001819932
13037,10.1021/ja301245b,25438,8a,31666,K0.02Pb0.98Te1−ySey_ y=0.15,K0.02Pb0.98Te0.85Se0.15,750,,25317,0.00027016,1.1106,1.1086,,0.0000394992,0.0018477973,0.0016637829
13037,10.1021/ja301245b,25438,8a,31666,K0.02Pb0.98Te1−ySey_ y=0.15,K0.02Pb0.98Te0.85Se0.15,800,,13470,0.00029216,0.96362,1.218,,0.000074239,0.0011497651,0.0011931727
13037,10.1021/ja301245b,25438,8a,31666,K0.02Pb0.98Te1−ySey_ y=0.15,K0.02Pb0.98Te0.85Se0.15,850,,1622.5,0.00031416,0.81665,1.3274,,0.0006163328,0.0001601351,0.0001960878
13037,10.1021/ja301245b,25439,8b,31666,K0.02Pb0.98Te1−ySey_ y=0.15,K0.02Pb0.98Te0.85Se0.15,300,,,0.000072149,,,,,,
13037,10.1021/ja301245b,25438,8a,31667,K0.02Pb0.98Te1−ySey_ x=0.25,K0.02Pb0.98Te0.75Se0.25,350,,116150,0.000099307,1.9695,0.28384,,0.0000086096,0.0011454574,0.0005815981
13037,10.1021/ja301245b,25438,8a,31667,K0.02Pb0.98Te1−ySey_ x=0.25,K0.02Pb0.98Te0.75Se0.25,400,,104380,0.00012292,1.8482,0.41438,,0.0000095804,0.0015771115,0.000853323
13037,10.1021/ja301245b,25438,8a,31667,K0.02Pb0.98Te1−ySey_ x=0.25,K0.02Pb0.98Te0.75Se0.25,450,,92617,0.00014653,1.7268,0.54492,,0.0000107972,0.0019885834,0.0011516003
13037,10.1021/ja301245b,25438,8a,31667,K0.02Pb0.98Te1−ySey_ x=0.25,K0.02Pb0.98Te0.75Se0.25,500,,80850,0.00017014,1.6055,0.67546,,0.0000123686,0.002340415,0.0014577484
13037,10.1021/ja301245b,25438,8a,31667,K0.02Pb0.98Te1−ySey_ x=0.25,K0.02Pb0.98Te0.75Se0.25,550,,69084,0.00019376,1.4842,0.806,,0.0000144751,0.0025936163,0.0017474844
13037,10.1021/ja301245b,25438,8a,31667,K0.02Pb0.98Te1−ySey_ x=0.25,K0.02Pb0.98Te0.75Se0.25,600,,57318,0.00021737,1.3629,0.93654,,0.0000174465,0.0027082593,0.0019871299
13037,10.1021/ja301245b,25438,8a,31667,K0.02Pb0.98Te1−ySey_ x=0.25,K0.02Pb0.98Te0.75Se0.25,650,,45551,0.00024098,1.2415,1.0671,,0.0000219534,0.0026452085,0.0021306553
13037,10.1021/ja301245b,25438,8a,31667,K0.02Pb0.98Te1−ySey_ x=0.25,K0.02Pb0.98Te0.75Se0.25,700,,33785,0.00026459,1.1202,1.1976,,0.0000295989,0.0023652158,0.0021114228
13037,10.1021/ja301245b,25438,8a,31667,K0.02Pb0.98Te1−ySey_ x=0.25,K0.02Pb0.98Te0.75Se0.25,750,,22018,0.00028821,0.9989,1.3282,,0.0000454174,0.0018289253,0.0018309393
13037,10.1021/ja301245b,25438,8a,31667,K0.02Pb0.98Te1−ySey_ x=0.25,K0.02Pb0.98Te0.75Se0.25,800,,10252,0.00031182,0.87758,1.4587,,0.0000975419,0.0009968195,0.0011358731
13037,10.1021/ja301245b,25438,8a,31667,K0.02Pb0.98Te1−ySey_ x=0.25,K0.02Pb0.98Te0.75Se0.25,850,,-1514.8,0.00033543,0.75625,1.5892,,-0.0006601532,-0.0001704351,-0.0002253688
13037,10.1021/ja301245b,25438,8a,31668,K0.02Pb0.98Te1−ySey_ x=0.75,K0.02Pb0.98Te0.25Se0.75,350,,98218,0.000041698,2.2193,-0.021998,,0.0000101814,0.0001707739,0.0000769495
13037,10.1021/ja301245b,25438,8a,31668,K0.02Pb0.98Te1−ySey_ x=0.75,K0.02Pb0.98Te0.25Se0.75,400,,89379,0.000064306,2.068,0.10549,,0.0000111883,0.0003696055,0.0001787261
13037,10.1021/ja301245b,25438,8a,31668,K0.02Pb0.98Te1−ySey_ x=0.75,K0.02Pb0.98Te0.25Se0.75,450,,80539,0.000086913,1.9167,0.23297,,0.0000124163,0.0006083811,0.0003174107
13037,10.1021/ja301245b,25438,8a,31668,K0.02Pb0.98Te1−ySey_ x=0.75,K0.02Pb0.98Te0.25Se0.75,500,,71700,0.00010952,1.7655,0.36046,,0.000013947,0.000860015,0.0004871226
13037,10.1021/ja301245b,25438,8a,31668,K0.02Pb0.98Te1−ySey_ x=0.75,K0.02Pb0.98Te0.25Se0.75,550,,62861,0.00013213,1.6142,0.48794,,0.0000159081,0.0010974485,0.0006798715
13037,10.1021/ja301245b,25438,8a,31668,K0.02Pb0.98Te1−ySey_ x=0.75,K0.02Pb0.98Te0.25Se0.75,600,,54022,0.00015474,1.4629,0.61543,,0.000018511,0.001293528,0.0008842218
13037,10.1021/ja301245b,25438,8a,31668,K0.02Pb0.98Te1−ySey_ x=0.75,K0.02Pb0.98Te0.25Se0.75,650,,45182,0.00017734,1.3116,0.74291,,0.0000221327,0.0014209502,0.0010833716
13037,10.1021/ja301245b,25438,8a,31668,K0.02Pb0.98Te1−ySey_ x=0.75,K0.02Pb0.98Te0.25Se0.75,700,,36343,0.00019995,1.1604,0.8704,,0.0000275156,0.0014529932,0.0012521486
13037,10.1021/ja301245b,25438,8a,31668,K0.02Pb0.98Te1−ySey_ x=0.75,K0.02Pb0.98Te0.25Se0.75,750,,27504,0.00022256,1.0091,0.99789,,0.0000363583,0.0013623544,0.0013500687
13037,10.1021/ja301245b,25438,8a,31668,K0.02Pb0.98Te1−ySey_ x=0.75,K0.02Pb0.98Te0.25Se0.75,800,,18665,0.00024517,0.8578,1.1254,,0.0000535762,0.001121922,0.0013079062
13037,10.1021/ja301245b,25438,8a,31668,K0.02Pb0.98Te1−ySey_ x=0.75,K0.02Pb0.98Te0.25Se0.75,850,,9825.3,0.00026777,0.70652,1.2529,,0.0001017781,0.0007044816,0.0009971149
13037,10.1021/ja301245b,25438,8a,31669,K0.02Pb0.98Te1−ySey_ y=0.85,K0.02Pb0.98Te0.15Se0.85,350,,114650,0.000028763,2.4787,-0.085181,,0.0000087222,0.0000948511,0.0000382665
13037,10.1021/ja301245b,25438,8a,31669,K0.02Pb0.98Te1−ySey_ y=0.85,K0.02Pb0.98Te0.15Se0.85,400,,104940,0.000050822,2.2948,0.059925,,0.0000095293,0.000271047,0.0001181135
13037,10.1021/ja301245b,25438,8a,31669,K0.02Pb0.98Te1−ySey_ y=0.85,K0.02Pb0.98Te0.15Se0.85,450,,95235,0.000072882,2.1108,0.20503,,0.0000105003,0.0005058679,0.000239657
13037,10.1021/ja301245b,25438,8a,31669,K0.02Pb0.98Te1−ySey_ y=0.85,K0.02Pb0.98Te0.15Se0.85,500,,85529,0.000094941,1.9269,0.35014,,0.0000116919,0.0007709407,0.0004000938
13037,10.1021/ja301245b,25438,8a,31669,K0.02Pb0.98Te1−ySey_ y=0.85,K0.02Pb0.98Te0.15Se0.85,550,,75824,0.000117,1.7429,0.49524,,0.0000131884,0.0010379547,0.0005955332
13037,10.1021/ja301245b,25438,8a,31669,K0.02Pb0.98Te1−ySey_ y=0.85,K0.02Pb0.98Te0.15Se0.85,600,,66118,0.00013906,1.5589,0.64035,,0.0000151245,0.001278569,0.0008201738
13037,10.1021/ja301245b,25438,8a,31669,K0.02Pb0.98Te1−ySey_ y=0.85,K0.02Pb0.98Te0.15Se0.85,650,,56412,0.00016112,1.375,0.78545,,0.0000177267,0.001464436,0.0010650444
13037,10.1021/ja301245b,25438,8a,31669,K0.02Pb0.98Te1−ySey_ y=0.85,K0.02Pb0.98Te0.15Se0.85,700,,46706,0.00018318,1.191,0.93056,,0.0000214105,0.0015672157,0.0013158822
13037,10.1021/ja301245b,25438,8a,31669,K0.02Pb0.98Te1−ySey_ y=0.85,K0.02Pb0.98Te0.15Se0.85,750,,37000,0.00020524,1.007,1.0757,,0.000027027,0.0015585679,0.0015477338
