sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Hall movility,Seebeck coefficient,Thermal conductivity,ZT,hall density,Electrical conductivity,Power factor,Figure of merit Z
27910,10.1063/1.5016488,24991,Figure 2A,31138,Mg3.2Sb1.5Bi0.49Te0.01 sintered at 1123 K,undefined,700,0.000043853,0.0031626,-0.00028071,0.69793,1.7349,3.1683e+25,22803.4570040818,0.0017968692,0.0025745693
27910,10.1063/1.5016488,24994,Figure 3E,31138,Mg3.2Sb1.5Bi0.49Te0.01 sintered at 1123 K,undefined,50,,0.019965,,,,,,,
27910,10.1063/1.5016488,24994,Figure 3E,31138,Mg3.2Sb1.5Bi0.49Te0.01 sintered at 1123 K,undefined,100,,0.018673,,,,,,,
27910,10.1063/1.5016488,24994,Figure 3E,31138,Mg3.2Sb1.5Bi0.49Te0.01 sintered at 1123 K,undefined,150,,0.01738,,,,,,,
27910,10.1063/1.5016488,24994,Figure 3E,31138,Mg3.2Sb1.5Bi0.49Te0.01 sintered at 1123 K,undefined,200,,0.016088,,,,2.474e+25,,,
27910,10.1063/1.5016488,24994,Figure 3E,31138,Mg3.2Sb1.5Bi0.49Te0.01 sintered at 1123 K,undefined,250,,0.014795,,,,2.5434e+25,,,
27910,10.1063/1.5016488,24994,Figure 3E,31138,Mg3.2Sb1.5Bi0.49Te0.01 sintered at 1123 K,undefined,300,,0.013503,,,,2.6128e+25,,,
27910,10.1063/1.5016488,24994,Figure 3E,31138,Mg3.2Sb1.5Bi0.49Te0.01 sintered at 1123 K,undefined,750,,0.0018701,,,,3.2377e+25,,,
27910,10.1063/1.5016488,24995,Figure 4A,31139,PbTe (Ref. 4),undefined,350,,,,,0.3658,,,,
27910,10.1063/1.5016488,24995,Figure 4A,31139,PbTe (Ref. 4),undefined,400,,,,,0.63,,,,
27910,10.1063/1.5016488,24995,Figure 4A,31139,PbTe (Ref. 4),undefined,450,,,,,0.8942,,,,
27910,10.1063/1.5016488,24995,Figure 4A,31139,PbTe (Ref. 4),undefined,500,,,,,1.1584,,,,
27910,10.1063/1.5016488,24995,Figure 4A,31139,PbTe (Ref. 4),undefined,550,,,,,1.4226,,,,
27910,10.1063/1.5016488,24995,Figure 4A,31139,PbTe (Ref. 4),undefined,600,,,,,1.6868,,,,
27910,10.1063/1.5016488,24995,Figure 4A,31139,PbTe (Ref. 4),undefined,650,,,,,1.951,,,,
27910,10.1063/1.5016488,24995,Figure 4A,31139,PbTe (Ref. 4),undefined,700,,,,,2.2152,,,,
27910,10.1063/1.5016488,24995,Figure 4A,31140,SnSe (Ref. 3),undefined,350,,,,,0.95547,,,,
27910,10.1063/1.5016488,24995,Figure 4A,31140,SnSe (Ref. 3),undefined,400,,,,,1.1089,,,,
27910,10.1063/1.5016488,24995,Figure 4A,31140,SnSe (Ref. 3),undefined,450,,,,,1.2623,,,,
27910,10.1063/1.5016488,24995,Figure 4A,31140,SnSe (Ref. 3),undefined,500,,,,,1.4158,,,,
27910,10.1063/1.5016488,24995,Figure 4A,31140,SnSe (Ref. 3),undefined,550,,,,,1.5692,,,,
27910,10.1063/1.5016488,24995,Figure 4A,31140,SnSe (Ref. 3),undefined,600,,,,,1.7227,,,,
27910,10.1063/1.5016488,24995,Figure 4A,31140,SnSe (Ref. 3),undefined,650,,,,,1.8761,,,,
27910,10.1063/1.5016488,24995,Figure 4A,31140,SnSe (Ref. 3),undefined,700,,,,,2.0295,,,,
