sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Dopant Concentration,Electrical resistivity,Power factor,Seebeck coefficient,Electrical conductivity
4419,10.1016/j.physb.2005.03.022,85,4,1,Pb1Te1I0.0006,Pb1Te1I0.0006,750,,,0.000025831,0.0024101,-0.00022876,38713.1740931439
4419,10.1016/j.physb.2005.03.022,4879,6,1,Pb1Te1I0.0006,Pb1Te1I0.0006,300,,,,0.0027695,,
4419,10.1016/j.physb.2005.03.022,85,4,142,Pb1Te1In0.0025,Pb1Te1In0.0025,350,,,0.00002348,0.0017542,-0.00020295,42589.4378194208
4419,10.1016/j.physb.2005.03.022,85,4,142,Pb1Te1In0.0025,Pb1Te1In0.0025,400,,,0.000029989,0.0017029,-0.00022598,33345.5600386809
4419,10.1016/j.physb.2005.03.022,85,4,142,Pb1Te1In0.0025,Pb1Te1In0.0025,450,,,0.000033751,0.0017611,-0.0002438,29628.7517406892
4419,10.1016/j.physb.2005.03.022,85,4,142,Pb1Te1In0.0025,Pb1Te1In0.0025,500,,,0.000036604,0.0017933,-0.00025621,27319.4186427713
4419,10.1016/j.physb.2005.03.022,85,4,142,Pb1Te1In0.0025,Pb1Te1In0.0025,550,,,0.00003922,0.0017793,-0.00026417,25497.1953085161
4419,10.1016/j.physb.2005.03.022,85,4,142,Pb1Te1In0.0025,Pb1Te1In0.0025,600,,,0.000041627,0.0017382,-0.00026899,24022.869772023
4419,10.1016/j.physb.2005.03.022,85,4,142,Pb1Te1In0.0025,Pb1Te1In0.0025,650,,,0.000043737,0.0016876,-0.00027168,22863.9367126232
4419,10.1016/j.physb.2005.03.022,85,4,142,Pb1Te1In0.0025,Pb1Te1In0.0025,700,,,0.00004586,0.0016159,-0.00027222,21805.4949847362
4419,10.1016/j.physb.2005.03.022,10,11,142,Pb1Te1In0.0025,Pb1Te1In0.0025,300,,,0.0000107,,,93457.9439252336
4419,10.1016/j.physb.2005.03.022,85,4,4,Pb1.001Te1I0.002,Pb1.001Te1I0.002,350,,,0.0000019808,0.0012132,-0.00004688,504846.5266558966
4419,10.1016/j.physb.2005.03.022,85,4,4,Pb1.001Te1I0.002,Pb1.001Te1I0.002,400,,,0.0000022657,0.0013913,-0.000057748,441364.6996513219
4419,10.1016/j.physb.2005.03.022,85,4,4,Pb1.001Te1I0.002,Pb1.001Te1I0.002,450,,,0.0000027257,0.0015694,-0.000069754,366878.2331144293
4419,10.1016/j.physb.2005.03.022,85,4,4,Pb1.001Te1I0.002,Pb1.001Te1I0.002,500,,,0.0000033443,0.0017474,-0.00008245,299016.2365816464
4419,10.1016/j.physb.2005.03.022,85,4,4,Pb1.001Te1I0.002,Pb1.001Te1I0.002,550,,,0.0000041267,0.0019255,-0.000095559,242324.3754089224
4419,10.1016/j.physb.2005.03.022,85,4,4,Pb1.001Te1I0.002,Pb1.001Te1I0.002,600,,,0.0000050888,0.0021036,-0.00010886,196509.9827071215
4419,10.1016/j.physb.2005.03.022,85,4,4,Pb1.001Te1I0.002,Pb1.001Te1I0.002,650,,,0.0000062445,0.0022817,-0.00012207,160140.9240131316
4419,10.1016/j.physb.2005.03.022,85,4,4,Pb1.001Te1I0.002,Pb1.001Te1I0.002,700,,,0.0000075948,0.0024597,-0.00013471,131669.0367093275
4419,10.1016/j.physb.2005.03.022,85,4,4,Pb1.001Te1I0.002,Pb1.001Te1I0.002,750,,,0.0000091155,0.0026378,-0.00014602,109703.2527014426
4419,10.1016/j.physb.2005.03.022,4879,6,4,Pb1.001Te1I0.002,Pb1.001Te1I0.002,300,,,,0.0010352,,
4419,10.1016/j.physb.2005.03.022,85,4,143,Pb1Te1In0.005,Pb1Te1In0.005,300,,,0.000030729,0.001037,-0.00017851,32542.5493833187
4419,10.1016/j.physb.2005.03.022,85,4,143,Pb1Te1In0.005,Pb1Te1In0.005,350,,,0.000046846,0.00089621,-0.0002049,21346.5397259104
4419,10.1016/j.physb.2005.03.022,85,4,143,Pb1Te1In0.005,Pb1Te1In0.005,400,,,0.000055215,0.00093612,-0.00022735,18111.0205560083
4419,10.1016/j.physb.2005.03.022,85,4,143,Pb1Te1In0.005,Pb1Te1In0.005,450,,,0.000060275,0.00098976,-0.00024425,16590.6262961427
4419,10.1016/j.physb.2005.03.022,85,4,143,Pb1Te1In0.005,Pb1Te1In0.005,500,,,0.000063977,0.0010236,-0.00025591,15630.6172530753
4419,10.1016/j.physb.2005.03.022,85,4,143,Pb1Te1In0.005,Pb1Te1In0.005,550,,,0.000066703,0.0010419,-0.00026363,14991.8294529481
4419,10.1016/j.physb.2005.03.022,85,4,143,Pb1Te1In0.005,Pb1Te1In0.005,600,,,0.000068196,0.0010595,-0.0002688,14663.6166344067
4419,10.1016/j.physb.2005.03.022,85,4,143,Pb1Te1In0.005,Pb1Te1In0.005,650,,,0.000068479,0.0010801,-0.00027196,14603.0169833088
4419,10.1016/j.physb.2005.03.022,26700,12,33485,PbTe:In,undefined,,4.8785e+25,50000000000000000000,,,,
4419,10.1016/j.physb.2005.03.022,26700,12,33486,PbTe:I,undefined,,4.7088e+24,50000000000000000000,,,,
4419,10.1016/j.physb.2005.03.022,26700,12,33486,PbTe:I,undefined,,4.7863e+24,100000000000000000000,,,,
4419,10.1016/j.physb.2005.03.022,26700,12,33486,PbTe:I,undefined,,4.8638e+24,150000000000000000000,,,,
4419,10.1016/j.physb.2005.03.022,26700,12,33486,PbTe:I,undefined,,4.9413e+24,200000000000000000000,,,,
4419,10.1016/j.physb.2005.03.022,26700,12,33486,PbTe:I,undefined,,5.0188e+24,250000000000000000000,,,,
